Years,Alameda County,El Dorado County,Kern County,Los Angeles County,Merced County,Napa County,Orange County,Sacramento County,San Diego County,San Mateo County,Santa Barbara County,Sierra County,Sonoma County,Ventura County,Yuba County
2008,1457169,172435,803474,9821342,238792,132488,3016765,1398762,301483,718494,401432,3087,468191,786932,72473
2009,1491482,178447,807407,9848011,245321,134650,3026786,1400949,3053793,718989,407057,3191,472102,802983,72925
2010,1513043,181133,841072,9822433,256732,136808,3016559,1421414,3103306,719725,424235,3221,484776,825130,72350
2011,1530998,180918,848140,9876727,259333,137750,3050867,1433739,3137372,728404,425481,3099,487423,830196,72492
2012,1554138,180578,853963,9938436,260971,138625,3080419,1445078,3175201,739427,429825,3067,490071,833801,72792
2013,1580247,181497,862557,9998105,262198,139706,3108009,1457750,3211248,749013,434823,3029,494243,838601,73114
2014,1608674,183161,869957,10048408,264649,140567,3130322,1475618,3250993,757670,439358,2980,498803,842946,73562
2015,1634634,184660,877197,10097037,266651,141096,3153962,1494294,3284061,765447,442522,2996,501346,846922,74083
2016,1650306,186082,882361,10120540,267971,141185,3170707,1511510,3310280,768204,444675,2957,503249,848921,75002
2017,1658131,188722,888988,10118759,271340,140386,3179950,1527718,3325468,768808,445606,3009,503246,850802,76775
2018,1666753,190678,896764,10105518,274765,139417,3185968,1540975,3343364,769545,446527,2987,499942,850967,78041
